frame,RL1_wrap_original,RL1_wrap_rate005,RL1_wrap_diff,RL5_wrap_original,RL5_wrap_rate005,RL5_wrap_diff,LL1_wrap_original,LL1_wrap_rate005,LL1_wrap_diff,LL5_wrap_original,LL5_wrap_rate005,LL5_wrap_diff
0,-0.0143077,-0.0143077,0.0,0.0143076,0.0143076,0.0,-0.0143077,-0.0143077,0.0,0.0143076,0.0143076,0.0
1,-0.016981,-0.016981,0.0,0.0169768,0.0169768,0.0,-0.016981,-0.016981,0.0,0.0169768,0.0169768,0.0
2,-0.0199786,-0.0199786,0.0,0.0199739,0.0199739,0.0,-0.0199786,-0.0199786,0.0,0.0199739,0.0199739,0.0
3,-0.0232939,-0.0232939,0.0,0.0232887,0.0232887,0.0,-0.0232939,-0.0232939,0.0,0.0232887,0.0232887,0.0
4,-0.0269478,-0.0269478,0.0,0.0269421,0.0269421,0.0,-0.0269478,-0.0269478,0.0,0.0269421,0.0269421,0.0
5,-0.0309634,-0.0309634,0.0,0.0309572,0.0309572,0.0,-0.0309634,-0.0309634,0.0,0.0309572,0.0309572,0.0
6,-0.0353659,-0.0353659,0.0,0.035359,0.035359,0.0,-0.0353659,-0.0353659,0.0,0.035359,0.035359,0.0
7,-0.0401826,-0.0401826,0.0,0.0401751,0.0401751,0.0,-0.0401826,-0.0401826,0.0,0.0401751,0.0401751,0.0
8,-0.0454431,-0.0454431,0.0,0.0454349,0.0454349,0.0,-0.0454431,-0.0454431,0.0,0.0454349,0.0454349,0.0
9,-0.0511794,-0.0511794,0.0,0.0511705,0.0511705,0.0,-0.0511794,-0.0511794,0.0,0.0511705,0.0511705,0.0
10,-0.057494,-0.057494,0.0,0.0574939,0.0574939,0.0,-0.057494,-0.057494,0.0,0.0574939,0.0574939,0.0
11,-0.064293,-0.064293,0.0,0.0642929,0.0642929,0.0,-0.064293,-0.064293,0.0,0.0642929,0.0642929,0.0
12,-0.0716789,-0.0716789,0.0,0.0716788,0.0716788,0.0,-0.0716789,-0.0716789,0.0,0.0716788,0.0716788,0.0
13,-0.0796939,-0.0796939,0.0,0.0796938,0.0796938,0.0,-0.0796939,-0.0796939,0.0,0.0796938,0.0796938,0.0
14,-0.0883828,-0.0883828,0.0,0.0883827,0.0883827,0.0,-0.0883828,-0.0883828,0.0,0.0883827,0.0883827,0.0
15,-0.0977931,-0.0977931,0.0,0.0977929,0.0977929,0.0,-0.0977931,-0.0977931,0.0,0.0977929,0.0977929,0.0
16,-0.107975,-0.107975,0.0,0.107975,0.107975,0.0,-0.107975,-0.107975,0.0,0.107975,0.107975,0.0
17,-0.118981,-0.118981,0.0,0.11898,0.11898,0.0,-0.118981,-0.118981,0.0,0.11898,0.11898,0.0
18,-0.130865,-0.130865,0.0,0.130865,0.130865,0.0,-0.130865,-0.130865,0.0,0.130865,0.130865,0.0
19,-0.143685,-0.143685,0.0,0.143685,0.143685,0.0,-0.143685,-0.143685,0.0,0.143685,0.143685,0.0
20,-0.157499,-0.157499,0.0,0.157499,0.157499,0.0,-0.157499,-0.157499,0.0,0.157499,0.157499,0.0
21,-0.172368,-0.172368,0.0,0.172367,0.172367,0.0,-0.172368,-0.172368,0.0,0.172367,0.172367,0.0
22,-0.18835,-0.18835,0.0,0.18835,0.18835,0.0,-0.18835,-0.18835,0.0,0.18835,0.18835,0.0
23,-0.205506,-0.205506,0.0,0.205505,0.205505,0.0,-0.205506,-0.205506,0.0,0.205505,0.205505,0.0
24,-0.223894,-0.223894,0.0,0.223893,0.223893,0.0,-0.223894,-0.223894,0.0,0.223893,0.223893,0.0
25,-0.243569,-0.243569,0.0,0.243569,0.243569,0.0,-0.243569,-0.243569,0.0,0.243569,0.243569,0.0
26,-0.264584,-0.264584,0.0,0.264584,0.264584,0.0,-0.264584,-0.264584,0.0,0.264584,0.264584,0.0
27,-0.286984,-0.286984,0.0,0.286984,0.286984,0.0,-0.286984,-0.286984,0.0,0.286984,0.286984,0.0
28,-0.310806,-0.310806,0.0,0.310806,0.310806,0.0,-0.310806,-0.310806,0.0,0.310806,0.310806,0.0
29,-0.336078,-0.336078,0.0,0.336077,0.336077,0.0,-0.336078,-0.336078,0.0,0.336077,0.336077,0.0
30,-0.362812,-0.362812,0.0,0.362812,0.362812,0.0,-0.362812,-0.362812,0.0,0.362812,0.362812,0.0
31,-0.39101,-0.39101,0.0,0.39101,0.39101,0.0,-0.39101,-0.39101,0.0,0.39101,0.39101,0.0
32,-0.420651,-0.420651,0.0,0.420651,0.420651,0.0,-0.420651,-0.420651,0.0,0.420651,0.420651,0.0
33,-0.451697,-0.451697,0.0,0.451697,0.451697,0.0,-0.451697,-0.451697,0.0,0.451697,0.451697,0.0
34,-0.484087,-0.484087,0.0,0.484087,0.484087,0.0,-0.484087,-0.484087,0.0,0.484087,0.484087,0.0
35,-0.517737,-0.517737,0.0,0.517737,0.517737,0.0,-0.517737,-0.517737,0.0,0.517737,0.517737,0.0
36,-0.552537,-0.552537,0.0,0.552538,0.552538,0.0,-0.552537,-0.552537,0.0,0.552538,0.552538,0.0
37,-0.588352,-0.588352,0.0,0.588352,0.588352,0.0,-0.588352,-0.588352,0.0,0.588352,0.588352,0.0
38,-0.625019,-0.625019,0.0,0.625019,0.625019,0.0,-0.625019,-0.625019,0.0,0.625019,0.625019,0.0
39,-0.662351,-0.662351,0.0,0.662352,0.662352,0.0,-0.662351,-0.662351,0.0,0.662352,0.662352,0.0
40,-0.700139,-0.700139,0.0,0.70014,0.70014,0.0,-0.700139,-0.700139,0.0,0.70014,0.70014,0.0
41,-0.738156,-0.738156,0.0,0.738157,0.738157,0.0,-0.738156,-0.738156,0.0,0.738157,0.738157,0.0
42,-0.776166,-0.776166,0.0,0.776167,0.776167,0.0,-0.776166,-0.776166,0.0,0.776167,0.776167,0.0
43,-0.813942,-0.813942,0.0,0.813943,0.813943,0.0,-0.813942,-0.813942,0.0,0.813943,0.813943,0.0
44,-0.851279,-0.851279,0.0,0.85128,0.85128,0.0,-0.851279,-0.851279,0.0,0.85128,0.85128,0.0
45,-0.888025,-0.888025,0.0,0.888026,0.888026,0.0,-0.888025,-0.888025,0.0,0.888026,0.888026,0.0
46,-0.9241,-0.9241,0.0,0.924101,0.924101,0.0,-0.9241,-0.9241,0.0,0.924101,0.924101,0.0
47,-0.959502,-0.959502,0.0,0.959503,0.959503,0.0,-0.959502,-0.959502,0.0,0.959503,0.959503,0.0
48,-0.994297,-0.994297,0.0,0.994298,0.994298,0.0,-0.994297,-0.994297,0.0,0.994298,0.994298,0.0
49,-1.02855,-1.02855,0.0,1.02856,1.02856,0.0,-1.02855,-1.02855,0.0,1.02856,1.02856,0.0
50,-1.06225,-1.06225,0.0,1.06225,1.06225,0.0,-1.06225,-1.06225,0.0,1.06225,1.06225,0.0
51,-1.09512,-1.09512,0.0,1.09512,1.09512,0.0,-1.09512,-1.09512,0.0,1.09512,1.09512,0.0
52,-1.12664,-1.12664,0.0,1.12664,1.12664,0.0,-1.12664,-1.12664,0.0,1.12664,1.12664,0.0
53,-1.15636,-1.15636,0.0,1.15636,1.15636,0.0,-1.15636,-1.15636,0.0,1.15636,1.15636,0.0
54,-1.18401,-1.18401,0.0,1.18401,1.18401,0.0,-1.18401,-1.18401,0.0,1.18401,1.18401,0.0
55,-1.20946,-1.20946,0.0,1.20946,1.20946,0.0,-1.20946,-1.20946,0.0,1.20946,1.20946,0.0
56,-1.2327,-1.2327,0.0,1.2327,1.2327,0.0,-1.2327,-1.2327,0.0,1.2327,1.2327,0.0
57,-1.25379,-1.25379,0.0,1.25379,1.25379,0.0,-1.25379,-1.25379,0.0,1.25379,1.25379,0.0
58,-1.27286,-1.27286,0.0,1.27286,1.27286,0.0,-1.27286,-1.27286,0.0,1.27286,1.27286,0.0
59,-1.29006,-1.29006,0.0,1.29006,1.29006,0.0,-1.29006,-1.29006,0.0,1.29006,1.29006,0.0
60,-1.30555,-1.30555,0.0,1.30555,1.30555,0.0,-1.30555,-1.30555,0.0,1.30555,1.30555,0.0
61,-1.31949,-1.31949,0.0,1.31949,1.31949,0.0,-1.31949,-1.31949,0.0,1.31949,1.31949,0.0
62,-1.33204,-1.33204,0.0,1.33204,1.33204,0.0,-1.33204,-1.33204,0.0,1.33204,1.33204,0.0
63,-1.34335,-1.34335,0.0,1.34335,1.34335,0.0,-1.34335,-1.34335,0.0,1.34335,1.34335,0.0
64,-1.35354,-1.35354,0.0,1.35354,1.35354,0.0,-1.35354,-1.35354,0.0,1.35354,1.35354,0.0
65,-1.36274,-1.36274,0.0,1.36274,1.36274,0.0,-1.36274,-1.36274,0.0,1.36274,1.36274,0.0
66,-1.37105,-1.37105,0.0,1.37105,1.37105,0.0,-1.37105,-1.37105,0.0,1.37105,1.37105,0.0
67,-1.37858,-1.37858,0.0,1.37858,1.37858,0.0,-1.37858,-1.37858,0.0,1.37858,1.37858,0.0
68,-1.3854,-1.3854,0.0,1.3854,1.3854,0.0,-1.3854,-1.3854,0.0,1.3854,1.3854,0.0
69,-1.39159,-1.39159,0.0,1.39159,1.39159,0.0,-1.39159,-1.39159,0.0,1.39159,1.39159,0.0
70,-1.39722,-1.39722,0.0,1.39722,1.39722,0.0,-1.39722,-1.39722,0.0,1.39722,1.39722,0.0
71,-1.40234,-1.40234,0.0,1.40234,1.40234,0.0,-1.40234,-1.40234,0.0,1.40234,1.40234,0.0
72,-1.407,-1.407,0.0,1.407,1.407,0.0,-1.407,-1.407,0.0,1.407,1.407,0.0
73,-1.41126,-1.41126,0.0,1.41126,1.41126,0.0,-1.41126,-1.41126,0.0,1.41126,1.41126,0.0
74,-1.41514,-1.41514,0.0,1.41514,1.41514,0.0,-1.41514,-1.41514,0.0,1.41514,1.41514,0.0
75,-1.41966,-1.41966,0.0,1.41966,1.41966,0.0,-1.41868,-1.41868,0.0,1.41868,1.41868,0.0
76,-1.42713,-1.42713,0.0,1.42713,1.42713,0.0,-1.42192,-1.42192,0.0,1.42192,1.42192,0.0
77,-1.43745,-1.43745,0.0,1.43745,1.43745,0.0,-1.42488,-1.42488,0.0,1.42488,1.42488,0.0
78,-1.4504,-1.4504,0.0,1.4504,1.4504,0.0,-1.42759,-1.42759,0.0,1.42759,1.42759,0.0
79,-1.46575,-1.46575,0.0,1.46575,1.46575,0.0,-1.43006,-1.43006,0.0,1.43006,1.43006,0.0
