frame,RL1_wrap,RL5_wrap,LL1_wrap,LL5_wrap
0,-0.0143077,0.0143076,-0.0143077,0.0143076
1,-0.016981,0.0169768,-0.016981,0.0169768
2,-0.0199786,0.0199739,-0.0199786,0.0199739
3,-0.0232939,0.0232887,-0.0232939,0.0232887
4,-0.0269478,0.0269421,-0.0269478,0.0269421
5,-0.0309634,0.0309572,-0.0309634,0.0309572
6,-0.0353659,0.035359,-0.0353659,0.035359
7,-0.0401826,0.0401751,-0.0401826,0.0401751
8,-0.0454431,0.0454349,-0.0454431,0.0454349
9,-0.0511794,0.0511705,-0.0511794,0.0511705
10,-0.057494,0.0574939,-0.057494,0.0574939
11,-0.064293,0.0642929,-0.064293,0.0642929
12,-0.0716789,0.0716788,-0.0716789,0.0716788
13,-0.0796939,0.0796938,-0.0796939,0.0796938
14,-0.0883828,0.0883827,-0.0883828,0.0883827
15,-0.0977931,0.0977929,-0.0977931,0.0977929
16,-0.107975,0.107975,-0.107975,0.107975
17,-0.118981,0.11898,-0.118981,0.11898
18,-0.130865,0.130865,-0.130865,0.130865
19,-0.143685,0.143685,-0.143685,0.143685
20,-0.157499,0.157499,-0.157499,0.157499
21,-0.172368,0.172367,-0.172368,0.172367
22,-0.18835,0.18835,-0.18835,0.18835
23,-0.205506,0.205505,-0.205506,0.205505
24,-0.223894,0.223893,-0.223894,0.223893
25,-0.243569,0.243569,-0.243569,0.243569
26,-0.264584,0.264584,-0.264584,0.264584
27,-0.286984,0.286984,-0.286984,0.286984
28,-0.310806,0.310806,-0.310806,0.310806
29,-0.336078,0.336077,-0.336078,0.336077
30,-0.362812,0.362812,-0.362812,0.362812
31,-0.39101,0.39101,-0.39101,0.39101
32,-0.420651,0.420651,-0.420651,0.420651
33,-0.451697,0.451697,-0.451697,0.451697
34,-0.484087,0.484087,-0.484087,0.484087
35,-0.517737,0.517737,-0.517737,0.517737
36,-0.552537,0.552538,-0.552537,0.552538
37,-0.588352,0.588352,-0.588352,0.588352
38,-0.625019,0.625019,-0.625019,0.625019
39,-0.662351,0.662352,-0.662351,0.662352
40,-0.700139,0.70014,-0.700139,0.70014
41,-0.738156,0.738157,-0.738156,0.738157
42,-0.776166,0.776167,-0.776166,0.776167
43,-0.813942,0.813943,-0.813942,0.813943
44,-0.851279,0.85128,-0.851279,0.85128
45,-0.888025,0.888026,-0.888025,0.888026
46,-0.9241,0.924101,-0.9241,0.924101
47,-0.959502,0.959503,-0.959502,0.959503
48,-0.994297,0.994298,-0.994297,0.994298
49,-1.02855,1.02856,-1.02855,1.02856
50,-1.06225,1.06225,-1.06225,1.06225
51,-1.09512,1.09512,-1.09512,1.09512
52,-1.12664,1.12664,-1.12664,1.12664
53,-1.15636,1.15636,-1.15636,1.15636
54,-1.18401,1.18401,-1.18401,1.18401
55,-1.20946,1.20946,-1.20946,1.20946
56,-1.2327,1.2327,-1.2327,1.2327
57,-1.25379,1.25379,-1.25379,1.25379
58,-1.27286,1.27286,-1.27286,1.27286
59,-1.29006,1.29006,-1.29006,1.29006
60,-1.30555,1.30555,-1.30555,1.30555
61,-1.31949,1.31949,-1.31949,1.31949
62,-1.33204,1.33204,-1.33204,1.33204
63,-1.34335,1.34335,-1.34335,1.34335
64,-1.35354,1.35354,-1.35354,1.35354
65,-1.36274,1.36274,-1.36274,1.36274
66,-1.37105,1.37105,-1.37105,1.37105
67,-1.37858,1.37858,-1.37858,1.37858
68,-1.3854,1.3854,-1.3854,1.3854
69,-1.39159,1.39159,-1.39159,1.39159
70,-1.39722,1.39722,-1.39722,1.39722
71,-1.40234,1.40234,-1.40234,1.40234
72,-1.407,1.407,-1.407,1.407
73,-1.41126,1.41126,-1.41126,1.41126
74,-1.41514,1.41514,-1.41514,1.41514
75,-1.41966,1.41966,-1.41868,1.41868
76,-1.42713,1.42713,-1.42192,1.42192
77,-1.43745,1.43745,-1.42488,1.42488
78,-1.4504,1.4504,-1.42759,1.42759
79,-1.46575,1.46575,-1.43006,1.43006
80,-1.48327,1.48327,-1.43231,1.43231
