frame,RL_target_x,RL_target_y,RL_target_z,LL_target_x,LL_target_y,LL_target_z,RL_target_roll,RL_target_pitch,RL_target_yaw,LL_target_roll,LL_target_pitch,LL_target_yaw,RL0_raw,RL1_raw,RL2_raw,RL3_raw,RL4_raw,RL5_raw,LL0_raw,LL1_raw,LL2_raw,LL3_raw,LL4_raw,LL5_raw,RL0_wrap,RL1_wrap,RL2_wrap,RL3_wrap,RL4_wrap,RL5_wrap,LL0_wrap,LL1_wrap,LL2_wrap,LL3_wrap,LL4_wrap,LL5_wrap,RL_roll_sum,LL_roll_sum,RL_roll_abs_sum,LL_roll_abs_sum,Ref_RL_x,Ref_RL_y,Ref_RL_z,Ref_LL_x,Ref_LL_y,Ref_LL_z,COM_y,ZMP_y_ref,CP_y,RF_y,LF_y,IK_RL_y_input,IK_LL_y_input,RL_condition_number,LL_condition_number,RL_min_singular_value,LL_min_singular_value,RL_iteration_count,LL_iteration_count,RL_final_ERR,LL_final_ERR,RL_converged,LL_converged,RL_roll_jump_guard_used,LL_roll_jump_guard_used,RL_roll_jump_delta_before,LL_roll_jump_delta_before,RL_roll_lowpass_used,LL_roll_lowpass_used,RL_roll_lowpass_delta_before,LL_roll_lowpass_delta_before,RL_pitch_chain_lowpass_used,LL_pitch_chain_lowpass_used,RL_pitch_chain_delta_before,LL_pitch_chain_delta_before,RL_post_guard_fk_pos_err,LL_post_guard_fk_pos_err,RL_post_guard_fk_ori_err,LL_post_guard_fk_ori_err,RL_convergence_fallback_used,LL_convergence_fallback_used,RL_max_abs_delta_theta,LL_max_abs_delta_theta,RL_delta_theta_1,RL_delta_theta_5,LL_delta_theta_1,LL_delta_theta_5,RL_frame_delta_0,RL_frame_delta_1,RL_frame_delta_2,RL_frame_delta_3,RL_frame_delta_4,RL_frame_delta_5,LL_frame_delta_0,LL_frame_delta_1,LL_frame_delta_2,LL_frame_delta_3,LL_frame_delta_4,LL_frame_delta_5,RL_max_abs_frame_delta,LL_max_abs_frame_delta
0,0.0031602576121754003,-60.083280755883735,-84.04000000000002,0.0031602576121754003,59.916719244116265,-84.04000000000002,0,0,0,0,0,0,4.1320861936720863e-17,-0.014307619723527756,-23.130102559731334,2.5721205248419783,20.557982034889356,0.014307619723527737,8.4886993277474323e-18,-0.014307619723498871,-23.130102559731334,2.5721205248419783,20.557982034889356,0.014307619723498853,4.1320861936720863e-17,-0.014307619723527754,2.0026386689870117,2.5721205248419783,1.7084261133505969,0.014307619723527735,8.4886993277474323e-18,-0.014307619723498869,2.0026386689870117,2.5721205248419783,1.7084261133505969,0.014307619723498852,-1.9081958235744878e-17,-1.7347234759768071e-17,0.02861523944705549,0.028615239446997721,3.1602576121754002e-06,-0.060083280756,0,3.1602576121754002e-06,0.059916719244,0,0.000083280756,0,0.000360168611,-0.059999999999999998,0.059999999999999998,-0.060083280755883733,0.059916719244116262,inf,inf,0,0,1,1,5.8201711193036144e-06,5.8201712729939573e-06,1,1,0,0,0.014307619723527754,0.014307619723498869,0,0,0,0,0,0,0,0,5.8201711193036144e-06,5.8201712729939573e-06,5.287980668551695e-16,4.1677526885200209e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0033867068077887094,-60.08359546420607,-84.04000000000002,0.0033867068077887094,59.91640453579393,-84.04000000000002,0,0,0,0,0,0,3.9548433939914844e-20,-0.014351681686655619,-23.130099152368317,2.5721205874822983,20.557978564886017,0.014351681686655619,-3.9847216395705203e-19,-0.01435168168665411,-23.130099152368317,2.5721205874822983,20.557978564886021,0.01435168168665411,3.9548433939914844e-20,-0.014329650705091687,2.0026413948774264,2.5721205749542344,1.7084233373479265,0.014329650705091677,-3.9847216395705203e-19,-0.01432965070507649,2.0026413948774264,2.5721205749542344,1.7084233373479301,0.014329650705076481,-1.0408340855860843e-17,-8.6736173798840355e-18,0.028659301410183365,0.028659301410152972,3.3867068077887092e-06,-0.060108709188,0,3.3867068077887092e-06,0.059891290812,0,0.000108709188,0,0.000436176461,-0.059999999999999998,0.059999999999999998,-0.060099016172000516,0.059900983827999479,inf,inf,0,0,1,1,6.2941735382863646e-05,6.294173538996868e-05,1,1,0,0,4.4061963127882749e-05,4.4061963155256685e-05,1,1,4.4061963127882749e-05,4.4061963155256685e-05,1,1,3.470003338890137e-06,3.4700033353374234e-06,0.00019650080209109228,0.00019650080224218586,9.1608247072403945e-16,4.4691015818067894e-15,0,0,0,0,0,0,0,0,-4.1281313502780952e-17,-2.2030981563931837e-05,2.7258904147231533e-06,5.011225612250314e-08,-2.7760026704015672e-06,2.203098156394051e-05,-8.8871714917044843e-18,-2.2030981577618805e-05,2.7258904147231533e-06,5.011225612250314e-08,-2.7760026668488536e-06,2.2030981577627479e-05,2.203098156394051e-05,2.2030981577627479e-05
2,0.0036159319629863319,-60.083944930201731,-84.04000000000002,0.0036159319629863319,59.916055069798269,-84.04000000000002,0,0,0,0,0,0,-1.8845882223307657e-18,-0.014422527443831332,-23.130095709908154,2.5721206409639357,20.55797506894422,0.01442252744383133,-1.2576519612808777e-18,-0.01442252744383162,-23.130095709908154,2.5721206409639357,20.55797506894422,0.014422527443831622,-1.8845882223307657e-18,-0.014376089074461508,2.0026446940236378,2.5721206277619952,1.7084199853939552,0.014376089074461501,-1.2576519612808777e-18,-0.014376089074454054,2.0026446940236378,2.5721206277619952,1.7084199853939552,0.01437608907445405,-6.9388939039072284e-18,-3.4694469519536142e-18,0.028752178148923009,0.028752178148908104,3.6159319629863318e-06,-0.060136946041,0,3.6159319629863318e-06,0.059863053959,0,0.000136946041,0,0.000518250196,-0.059999999999999998,0.059999999999999998,-0.060116489471783496,0.059883510528216499,1501.8618557106024,1501.8618557092125,0.090278707589921639,0.090278707590005267,2,2,8.1571566230217419e-09,8.1571565589368239e-09,1,1,0,0,9.2876738739653187e-05,9.2876738755140798e-05,1,1,9.2876738739653187e-05,9.2876738755140798e-05,1,1,4.1899424658708995e-06,4.1899424694236131e-06,0.00027582750774917189,0.00027582750779791193,1.7765872174228913e-15,1.7765637151511705e-15,0,0,2.2819119997197206e-05,2.2819119998458377e-05,-2.2819119997197206e-05,2.2819119997192555e-05,-2.2819119998457591e-05,2.2819119998458377e-05,-1.9241366562706805e-18,-4.6438369369822263e-05,3.2991462113329817e-06,5.280776083083083e-08,-3.3519539712756341e-06,4.6438369369825733e-05,-8.5917979732382568e-19,-4.6438369377564334e-05,3.2991462113329817e-06,5.280776083083083e-08,-3.3519539748283478e-06,4.6438369377569538e-05,4.6438369369825733e-05,4.6438369377569538e-05
3,0.0038483158215795463,-60.084331427630644,-84.04000000000002,0.0038483158215795463,59.915668572369356,-84.04000000000002,0,0,0,0,0,0,5.1039604839452307e-19,-0.014488922071891751,-23.130092219102945,2.5721206912581449,20.557971527844799,0.014488922071891749,-1.1959903307755331e-19,-0.014488922071890415,-23.130092219102945,2.5721206912581449,20.557971527844799,0.014488922071890415,5.1039604839452307e-19,-0.014432505573176629,2.0026481464970489,2.5721206785589148,1.7084164821236236,0.014432505573176626,-1.1959903307755331e-19,-0.014432505573172234,2.0026481464970489,2.5721206785589148,1.7084164821236236,0.014432505573172234,-3.4694469519536142e-18,0,0.028865011146353255,0.028865011146344467,3.8483158215795465e-06,-0.060168175033,0,3.8483158215795465e-06,0.059831824967,0,0.000168175033,0,0.000606890106,-0.059999999999999998,0.059999999999999998,-0.060135814343229212,0.059864185656770784,1501.8627181026711,1501.8627180857484,0.09027883650423596,0.090278836505253257,2,2,1.4299187330659866e-08,1.4299187378656429e-08,1,1,0,0,0.00011283299743024625,0.00011283299743636462,1,1,0.00011283299743024625,0.00011283299743636462,1,1,4.379087915395985e-06,4.379087915395985e-06,0.00033337101389032965,0.00033337101391818275,9.1601048176409965e-16,9.437792525115056e-16,0,0,3.6097998157763397e-05,3.609799815730215e-05,-3.6097998157763397e-05,3.6097998157762157e-05,-3.609799815730215e-05,3.6097998157298057e-05,2.3949842707252888e-18,-5.6416498715119653e-05,3.4524734111585076e-06,5.0796919559559228e-08,-3.5032703316062452e-06,5.6416498715123123e-05,1.1380529282033244e-18,-5.6416498718179706e-05,3.4524734111585076e-06,5.0796919559559228e-08,-3.5032703316062452e-06,5.6416498718183175e-05,5.6416498715123123e-05,5.6416498718183175e-05
4,0.0040842438648184109,-60.084757449358918,-84.04000000000002,0.0040842438648184109,59.915242550641082,-84.04000000000002,0,0,0,0,0,0,4.291903903005613e-19,-0.014562106256863492,-23.130088676128711,2.5721207469561365,20.557967929172577,0.014562106256863491,-7.1674460011213369e-19,-0.014562106256865569,-23.130088676128711,2.5721207469561365,20.557967929172577,0.01456210625686557,4.291903903005613e-19,-0.014497305915020062,2.0026516713711162,2.5721207332766922,1.7084129025317794,0.014497305915020058,-7.1674460011213369e-19,-0.014497305915018901,2.0026516713711162,2.5721207332766922,1.7084129025317794,0.014497305915018903,-3.4694469519536142e-18,1.7347234759768071e-18,0.02899461183004012,0.028994611830037806,4.0842438648184105e-06,-0.060202597589,0,4.0842438648184105e-06,0.059797402411,0,0.000202597589,0,0.000702638839,-0.059999999999999998,0.059999999999999998,-0.060157115429642923,0.059842884570357073,1501.8633864307524,1501.8633864653625,0.09027897913709286,0.090278979135013232,2,2,2.2258619563173418e-08,2.2258619496273575e-08,1,1,0,0,0.00012960068368686462,0.00012960068369333687,1,1,0.00012960068368686462,0.00012960068369333687,1,1,4.4744898062276661e-06,4.4744898062276661e-06,0.0003817178066613819,0.00038171780666138163,1.3046700610649734e-15,1.3046453376720082e-15,0,0,5.0734757748993678e-05,5.0734757751491158e-05,-5.0734757748993678e-05,5.0734757748988487e-05,-5.0734757751491131e-05,5.0734757751491158e-05,-8.1205658093961771e-20,-6.4800341843432308e-05,3.5248740672955137e-06,5.4717777420165703e-08,-3.5795918442715902e-06,6.4800341843432308e-05,-5.9714556703458037e-19,-6.4800341846667567e-05,3.5248740672955137e-06,5.4717777420165703e-08,-3.5795918442715902e-06,6.4800341846669302e-05,6.4800341843432308e-05,6.4800341846669302e-05
5,0.0043240934812102307,-60.085225723628461,-84.04000000000002,0.0043240934812102307,59.914774276371539,-84.04000000000002,0,0,0,0,0,0,-1.3707038278632777e-19,-0.014642548626307417,-23.13008507539794,2.5721208084928575,20.557964266905081,0.014642548626307416,6.5225134630492846e-19,-0.01464254862630915,-23.13008507539794,2.5721208084928575,20.557964266905081,0.014642548626309149,-1.3707038278632777e-19,-0.01456992727066374,2.0026552569305496,2.5721207934496246,1.7084092567994127,0.014569927270663738,6.5225134630492846e-19,-0.014569927270664026,2.0026552569305496,2.5721207934496246,1.7084092567994127,0.014569927270664026,-1.7347234759768071e-18,0,0.029139854541327476,0.029139854541328052,4.3240934812102304e-06,-0.060240434150,0,4.3240934812102304e-06,0.059759565850,0,0.000240434150,0,0.000806082353,-0.059999999999999998,0.059999999999999998,-0.0601805291431202,0.059819470856879796,1501.863846950383,1501.8638469675484,0.09027913655618991,0.090279136555248066,2,2,3.2446577296179536e-08,3.2446577235200582e-08,1,1,0,0,0.00014524271128735743,0.00014524271129024921,1,1,0.00014524271128735743,0.00014524271129024921,1,1,4.5571654574416698e-06,4.5571654574416698e-06,0.0004269003197306311,0.00042690031972359598,4.4412838339610465e-16,4.4412308987558169e-16,0,0,6.682311593676413e-05,6.6823115939945558e-05,-6.682311593676413e-05,6.682311593676413e-05,-6.6823115939943227e-05,6.6823115939945558e-05,-5.6626077308688907e-19,-7.2621355643677846e-05,3.5855594333611407e-06,6.0172932414559455e-08,-3.6457323666638786e-06,7.262135564367958e-05,1.3689959464170621e-18,-7.2621355645124605e-05,3.5855594333611407e-06,6.0172932414559455e-08,-3.6457323666638786e-06,7.262135564512287e-05,7.262135564367958e-05,7.2621355645124605e-05
6,0.004568225082963109,-60.085739230261318,-84.04000000000002,0.004568225082963109,59.914260769738682,-84.04000000000002,0,0,0,0,0,0,-2.2521484885988467e-18,-0.014730761016344948,-23.130081411590194,2.5721208763518839,20.557960535238308,0.014730761016344952,-2.191045707629571e-18,-0.014730761016344856,-23.130081411590194,2.5721208763518839,20.557960535238308,0.014730761016344853,-2.2521484885988467e-18,-0.014650344143504345,2.002658905088631,2.5721208597714322,1.708405542319521,0.014650344143504346,-2.191045707629571e-18,-0.014650344143504442,2.002658905088631,2.5721208597714322,1.708405542319521,0.014650344143504442,1.7347234759768071e-18,0,0.029300688287008693,0.029300688287008884,4.5682250829631094e-06,-0.060281925486,0,4.5682250829631094e-06,0.059718074514,0,0.000281925486,0,0.000917851376,-0.059999999999999998,0.059999999999999998,-0.060206204474762964,0.059793795525237031,1501.8640834002044,1501.8640833824757,0.090279309959582776,0.090279309960648257,2,2,4.5350977810660402e-08,4.5350977793761228e-08,1,1,0,0,0.00016083374568121381,0.00016083374568083043,1,1,0.00016083374568121381,0.00016083374568083043,1,1,4.6430998636992626e-06,4.6430998636992626e-06,0.00047200805918728387,0.00047200805918728387,2.2206662668963133e-15,2.2206655893370506e-15,0,0,8.4465429861331899e-05,8.4465429860267985e-05,-8.4465429861331899e-05,8.446542986133137e-05,-8.4465429860267985e-05,8.4465429860263052e-05,-2.115078105812519e-18,-8.0416872840603434e-05,3.6481580814040626e-06,6.6321807601354976e-08,-3.7144798916699528e-06,8.0416872840606904e-05,-2.8432970539344995e-18,-8.041687284041435e-05,3.6481580814040626e-06,6.6321807601354976e-08,-3.7144798916699528e-06,8.041687284041435e-05,8.0416872840606904e-05,8.041687284041435e-05
7,0.0048169746798432007,-60.086301217107312,-84.04000000000002,0.0048169746798432007,59.913698782892688,-84.04000000000002,0,0,0,0,0,0,1.9081992988348646e-18,-0.014827301295359044,-23.130077679765197,2.5721209510704446,20.557956728694752,0.014827301295359042,-2.9063196217675157e-19,-0.014827301295360534,-23.130077679765197,2.5721209510704446,20.557956728694752,0.014827301295360531,1.9081992988348646e-18,-0.014738822719431695,2.0026626201802467,2.572120932810642,1.7084017541886987,0.014738822719431695,-2.9063196217675157e-19,-0.01473882271943249,2.0026626201802467,2.572120932810642,1.7084017541886987,0.014738822719432486,0,-3.4694469519536142e-18,0.02947764543886339,0.029477645438864976,4.8169746798432009e-06,-0.060327334023,0,4.8169746798432009e-06,0.059672665977,0,0.000327334023,0,0.001038623301,-0.059999999999999998,0.059999999999999998,-0.060234303817062664,0.059765696182937332,1501.8640770348686,1501.8640770349482,0.090279500666809481,0.090279500666822624,2,2,6.1550707355339045e-08,6.1550707362260191e-08,1,1,0,0,0.00017695715185470084,0.00017695715185609383,1,1,0.00017695715185470084,0.00017695715185609383,1,1,4.7351635288350735e-06,4.7351635288350735e-06,0.00051871211576648521,0.00051871211575943074,9.4375185071063022e-16,9.4379170761253908e-16,0,0,0.00010377326102420558,0.00010377326101795853,-0.00010377326102420558,0.00010377326102420211,-0.00010377326101795853,0.00010377326101795498,4.1603477874337113e-18,-8.8478575927350422e-05,3.7150916156747371e-06,7.3039209791403437e-08,-3.7881308223575161e-06,8.8478575927348688e-05,1.9004137454528195e-18,-8.8478575928047781e-05,3.7150916156747371e-06,7.3039209791403437e-08,-3.7881308223575161e-06,8.8478575928044312e-05,8.8478575927350422e-05,8.8478575928047781e-05
8,0.0050706475154461157,-60.086915216993255,-84.04000000000002,0.0050706475154461157,59.913084783006745,-84.04000000000002,0,0,0,0,0,0,3.0269270838923193e-18,-0.014932776273522998,-23.130073875460045,2.5721210332450091,20.557952842215034,0.014932776273522996,-1.7049550978649855e-18,-0.01493277627352243,-23.130073875460045,2.5721210332450091,20.557952842215034,0.014932776273522422,3.0269270838923193e-18,-0.014835799496477346,2.0026664066426898,2.5721210131581356,1.708397887378758,0.014835799496477346,-1.7049550978649855e-18,-0.01483579949647746,2.0026664066426898,2.5721210131581356,1.708397887378758,0.014835799496477453,0,-6.9388939039072284e-18,0.029671598992954691,0.029671598992954913,5.070647515446116e-06,-0.060376945213,0,5.070647515446116e-06,0.059623054786,0,0.000376945214,0,0.001169124485,-0.059999999999999998,0.059999999999999998,-0.060265003811359831,0.059734996188640165,1501.8638063064027,1501.8638063245828,0.090279710133089289,0.090279710131944094,2,2,8.1731228901951982e-08,8.17312289261105e-08,1,1,0,0,0.00019395355409130427,0.00019395355408994251,1,1,0.00019395355409130427,0.00019395355408994251,1,1,4.8335124240850291e-06,4.8335124240850291e-06,0.00056798856835545163,0.00056798856835545131,3.08124495301193e-15,3.0811819285994746e-15,0,0,0.00012486795680064435,0.00012486795680066297,-0.00012486795680063739,0.00012486795680064435,-0.00012486795680066297,0.00012486795680065175,1.1187277850574547e-18,-9.6976777045652135e-05,3.7864624431449556e-06,8.0347493547350268e-08,-3.8668099406891088e-06,9.6976777045652135e-05,-1.414323135688234e-18,-9.6976777044972123e-05,3.7864624431449556e-06,8.0347493547350268e-08,-3.8668099406891088e-06,9.6976777044968654e-05,9.6976777045652135e-05,9.6976777044972123e-05
9,0.0053295124458539777,-60.087585065392538,-84.04000000000002,0.0053295124458539777,59.912414934607462,-84.04000000000002,0,0,0,0,0,0,1.1541599443581585e-18,-0.015047844735648708,-23.130069994775358,2.5721211235375354,20.557948871237823,0.015047844735648705,-2.6458654193784866e-18,-0.01504784473565071,-23.130069994775358,2.572121123537535,20.557948871237823,0.015047844735650717,1.1541599443581585e-18,-0.014941822116063026,2.0026702684829276,2.5721211014616556,1.708393937235001,0.014941822116063024,-2.6458654193784866e-18,-0.014941822116064084,2.0026702684829276,2.5721211014616552,1.708393937235001,0.014941822116064084,-1.7347234759768071e-18,0,0.029883644232126048,0.029883644232128168,5.3295124458539775e-06,-0.060431068964,0,5.3295124458539775e-06,0.059568931036,0,0.000431068964,0,0.001310132903,-0.059999999999999998,0.059999999999999998,-0.060298496231323766,0.05970150376867623,1501.8632462706062,1501.8632462898411,0.090279939978131662,0.090279939976854046,2,2,1.0670259249009062e-07,1.0670267806038092e-07,1,1,0,0,0.00021204523917136249,0.00021204523917326375,1,1,0.00021204523917136249,0.00021204523917326375,1,1,4.9376796944500265e-06,4.9376796944500265e-06,0.00062047540295937864,0.00062047540295022679,2.2207170832518413e-15,2.6370318910862195e-15,0,0,0.00014788125650728689,0.00014788125649845408,-0.00014788125650728689,0.00014788125650727567,-0.00014788125649843945,0.00014788125649845408,-1.8727671395341607e-18,-0.00010602261958568039,3.8618402378176597e-06,8.8303520051624673e-08,-3.950143756981106e-06,0.00010602261958567866,-9.4091032151350102e-19,-0.00010602261958662408,3.8618402378176597e-06,8.8303519607535463e-08,-3.950143756981106e-06,0.00010602261958663102,0.00010602261958568039,0.00010602261958663102
