frame,time,RL0,RL1,RL2,RL3,RL4,RL5,LL0,LL1,LL2,LL3,LL4,LL5
0,0.0,0.0,0.1,-0.816,0.138,-0.714,-0.1,0.0,-0.1,0.816,-0.138,0.714,0.1
1,0.01,4.128131350278095e-17,0.10002203098156394,-0.8159972741095852,0.1379999498877439,-0.7139972239973296,-0.10002203098156395,8.887171491704484e-18,-0.09997796901842239,0.8159972741095852,-0.1379999498877439,0.7139972239973331,0.09997796901842237
2,0.02,4.320545015905163e-17,0.10006846935093376,-0.8159939749633739,0.13799989707998306,-0.7139938720433583,-0.10006846935093378,9.74635128902831e-18,-0.09993153064904482,0.8159939749633739,-0.13799989707998306,0.7139938720433583,0.09993153064904481
3,0.03,4.0810465888326343e-17,0.10012488584964888,-0.8159905224899627,0.1379998462830635,-0.7139903687730267,-0.1001248858496489,8.608298360824986e-18,-0.09987511415032664,0.8159905224899627,-0.1379998462830635,0.7139903687730267,0.09987511415032663
4,0.04,4.089167154642031e-17,0.10018968619149231,-0.8159869976158954,0.13799979156528608,-0.7139867891811824,-0.10018968619149232,9.205443927859566e-18,-0.09981031380847998,0.8159869976158954,-0.13799979156528608,0.7139867891811824,0.09981031380847996
5,0.05,4.14579323195072e-17,0.100262307547136,-0.8159834120564621,0.13799973139235366,-0.7139831434488157,-0.10026230754713601,7.836447981442504e-18,-0.09973769245283484,0.8159834120564621,-0.13799973139235366,0.7139831434488157,0.09973769245283483
6,0.06,4.357301042531972e-17,0.1003427244199766,-0.8159797638983807,0.13799966507054606,-0.7139794289689241,-0.10034272441997662,1.0679745035377003e-17,-0.09965727557999443,0.8159797638983807,-0.13799966507054606,0.7139794289689241,0.09965727557999442
7,0.07,3.9412662637886006e-17,0.10043120299590394,-0.815976048806765,0.13799959203133627,-0.7139756408381017,-0.10043120299590397,8.779331289924184e-18,-0.09956879700406639,0.815976048806765,-0.13799959203133627,0.7139756408381017,0.09956879700406637
8,0.08,3.829393485282855e-17,0.1005281797729496,-0.8159722623443219,0.13799951168384272,-0.713971774028161,-0.10052817977294962,1.0193654425612418e-17,-0.09947182022702142,0.8159722623443219,-0.13799951168384272,0.713971774028161,0.0994718202270214
9,0.09,4.016670199236271e-17,0.10063420239253527,-0.815968400504084,0.13799942338032267,-0.713967823884404,-0.10063420239253529,1.1134564747125918e-17,-0.09936579760743479,0.815968400504084,-0.13799942338032312,0.713967823884404,0.09936579760743477
10,0.1,3.640525944763751e-17,0.10074990164939872,-0.8159644598792407,0.1379993264036582,-0.7139637862828976,-0.10074990164939873,6.718407898115696e-18,-0.09925009835057615,0.8159644598792407,-0.13799932640365864,0.7139637862828976,0.09925009835057613
11,0.11,4.1907403959931194e-17,0.10087597918282375,-0.815960437757295,0.1379992199585135,-0.7139596577158058,-0.10087597918282376,1.0311671727888751e-17,-0.09912402081714794,0.815960437757295,-0.1379992199585135,0.7139596577158058,0.09912402081714791
12,0.12,4.2610253496205754e-17,0.10101320311333976,-0.8159563321981561,0.13799910316241182,-0.7139554353605688,-0.10101320311333978,7.441427815192862e-18,-0.09898679688663395,0.8159563321981561,-0.13799910316241137,0.7139554353605688,0.09898679688663392
13,0.13,3.8756009630138045e-17,0.10116240776842776,-0.815952142109926,0.1379989750358398,-0.7139511171457662,-0.10116240776842779,6.0411382051660145e-18,-0.09883759223154269,0.815952142109926,-0.13799897503584024,0.7139511171457662,0.09883759223154268
14,0.14,4.7194369251220635e-17,0.10132449558019009,-0.8159478673266182,0.13799883449108308,-0.7139467018177021,-0.1013244955801901,1.1599700988302551e-17,-0.09867550441978067,0.8159478673266182,-0.13799883449108352,0.7139467018177021,0.09867550441978065
15,0.15,4.484726229688205e-17,0.1015004402069199,-0.8159435086900376,0.1379986803195542,-0.7139421890095909,-0.10150044020691991,2.7087880284692107e-18,-0.0984995597930508,0.8159435086900376,-0.1379986803195542,0.7139421890095909,0.09849955979305078
16,0.16,3.957685043246878e-17,0.10169129041492309,-0.8159390681373867,0.13799851117741346,-0.7139375793147997,-0.1016912904149231,7.898650620940903e-18,-0.09830870958504072,0.8159390681373867,-0.1379985111774148,0.7139375793147997,0.09830870958504069
17,0.17,3.8341730008058153e-17,0.10189817449924396,-0.8159345487960411,0.13799832556923664,-0.7139328743652746,-0.10189817449924396,1.0504809161976277e-17,-0.09810182550072366,0.8159345487960411,-0.13799832556923752,0.7139328743652782,0.09810182550072365
18,0.18,4.7919750290832154e-17,0.10212230514277423,-0.8159299550867029,0.1379981218294405,-0.7139280769161451,-0.10212230514277426,9.83209437060582e-18,-0.09787769485719143,0.8159299550867029,-0.13799812182944093,0.7139280769161451,0.0978776948571914
19,0.19,4.585988734183964e-17,0.102364984673596,-0.8159252928361741,0.13799789810116814,-0.7139231909373414,-0.10236498467359603,8.362660111425528e-18,-0.09763501532637309,0.8159252928361741,-0.1379978981011668,0.7139231909373414,0.09763501532637309
20,0.2,4.850585126703812e-17,0.1026276107096044,-0.8159205694008601,0.13799765231227756,-0.7139182217131412,-0.10262761070960441,-6.416991818968566e-18,-0.09737238929036153,0.8159205694008601,-0.137997652312278,0.7139182217131412,0.0973723892903615
21,0.21,3.8547549344738084e-17,0.10291168219312495,-0.8159157938021951,0.13799738214801593,-0.713913175950212,-0.10291168219312495,-3.2742303924215196e-18,-0.09708831780683876,0.8159157938021951,-0.13799738214801638,0.713913175950212,0.09708831780683874
22,0.22,3.227092854344214e-17,0.10321880582258088,-0.8159109768750678,0.13799708501996444,-0.7139080618950309,-0.10321880582258089,-4.354162413308786e-18,-0.09678119417738237,0.8159109768750678,-0.13799708501996355,0.7139080618950309,0.09678119417738235
23,0.23,3.7805671501820414e-17,0.10355070288905684,-0.8159061314304888,0.13799675803069855,-0.7139028894611861,-0.10355070288905688,-1.218059720705178e-17,-0.09644929711089188,0.8159061314304888,-0.13799675803069766,0.7139028894611861,0.09644929711089188
24,0.24,4.981663240346399e-17,0.10390921652528501,-0.8159012724336893,0.1379963979336184,-0.7138976703673037,-0.10390921652528502,2.084408248229708e-17,-0.09609078347468077,0.8159012724336893,-0.13799639793361707,0.7138976703673037,0.09609078347468077
25,0.25,4.5178682018843614e-17,0.10429631937774587,-0.815896417198915,0.13799600108727328,-0.713892418286187,-0.10429631937774589,2.961928360866193e-17,-0.09570368062222143,0.815896417198915,-0.13799600108727683,0.713892418286187,0.09570368062222144
26,0.26,3.290752357802607e-17,0.10471412172629903,-0.8158915856023273,0.13799556340343966,-0.7138871490057688,-0.10471412172629907,3.2325726731854303e-18,-0.09528587827366468,0.8158915856023273,-0.1379955634034401,0.7138871490057688,0.09528587827366465
27,0.27,5.9917976427785e-17,0.10516488010593375,-0.8158868003144245,0.13799508028795915,-0.7138818806023841,-0.10516488010593372,1.2385560812836443e-17,-0.09483511989400566,0.815886800314421,-0.13799508028796004,0.7138818806023841,0.09483511989400563
28,0.28,1.3037025095846388e-17,0.10565100654029283,-0.8158820870535602,0.13799454657333643,-0.7138766336269007,-0.10565100654029282,1.5601697314359982e-17,-0.0943489934596563,0.8158820870535638,-0.1379945465733342,0.7138766336268971,0.0943489934596563
29,0.29,5.5230622862317557e-17,0.10617507857637225,-0.8158774748623482,0.13799395644162493,-0.7138714313039727,-0.1061750785763723,-2.3009400571002798e-17,-0.0938249214235794,0.8158774748623482,-0.13799395644162626,0.7138714313039727,0.0938249214235794
30,0.3,3.7320721871188065e-17,0.10673985040106296,-0.8158729964087367,0.1379933033359243,-0.7138662997446601,-0.10673985040106299,7.493222120482906e-18,-0.09326014959891456,0.8158729964087367,-0.13799330333593096,0.7138662997446636,0.09326014959891457
31,0.31,4.1029736765942275e-17,0.10734826537925465,-0.8158686883139278,0.13799257985846103,-0.7138612681723919,-0.10734826537925468,5.3099166347474844e-17,-0.0926517346207097,0.8158686883139278,-0.13799257985846236,0.7138612681723919,0.0926517346207097
32,0.32,4.540674189766404e-17,0.1080034702991436,-0.8158645915093042,0.13799177765299986,-0.7138563691623054,-0.10800347029914366,-4.7593331470864855e-17,-0.09199652970081362,0.8158645915093042,-0.1379917776530003,0.7138563691623054,0.09199652970081365
33,0.33,5.71962011386552e-17,0.10870883130996653,-0.8158607516246416,0.13799088726962572,-0.7138516388942668,-0.1087088313099666,-3.977918225289579e-17,-0.09129116868997436,0.8158607516246416,-0.1379908872696235,0.7138516388942668,0.09129116868997433
34,0.34,1.6037838927160125e-17,0.10946795082743824,-0.8158572194098649,0.1379898980107287,-0.7138471174205931,-0.10946795082743836,2.6474049555889226e-17,-0.09053204917250585,0.8158572194098649,-0.13798989801072603,0.7138471174205896,0.09053204917250583
35,0.35000000000000003,2.726611206199681e-17,0.11028468342532403,-0.815854051192127,0.13798879775935158,-0.7138428489514808,-0.11028468342532402,-6.802505323146855e-18,-0.08971531657461998,0.815854051192127,-0.13798879775934847,0.7138428489514772,0.08971531657461997
36,0.36,9.512537579325006e-17,0.11116314693853269,-0.8158513093694043,0.13798757279467255,-0.7138388821640773,-0.11116314693853273,6.282423699565593e-17,-0.0888368530614248,0.8158513093694043,-0.137987572794677,0.7138388821640809,0.08883685306142487
37,0.37,3.767315095143078e-17,0.11210772020203906,-0.8158490577994587,0.1379862076113324,-0.7138352654107876,-0.1121077202020391,5.239693953505795e-17,-0.08789227979792306,0.8158490577994552,-0.1379862076113466,0.7138352654107982,0.08789227979792323
38,0.38,3.526359933052012e-17,0.1131230171276958,-0.8158473473085702,0.13798468476531422,-0.7138320320738827,-0.11312301712769583,-9.602025690358276e-18,-0.08687698287225637,0.8158473473085702,-0.137984684765308,0.7138320320738791,0.08687698287225644
