frame,time,RL0,RL1,RL2,RL3,RL4,RL5,LL0,LL1,LL2,LL3,LL4,LL5
0,0.0,0.0,0.100000000000,-0.816,0.138,-0.714,-0.100000000000,0.0,-0.100000000000,0.816,-0.138,0.714,0.100000000000
1,0.01,4.128131350278095e-17,0.100044061963,-0.8159972741095852,0.1379999498877439,-0.7139972239973296,-0.100044061963,8.887171491704484e-18,-0.099955938037,0.8159972741095852,-0.1379999498877439,0.7139972239973331,0.099955938037
2,0.02,4.320545015905163e-17,0.100136938702,-0.8159939749633739,0.13799989707998306,-0.7139938720433583,-0.100136938702,9.74635128902831e-18,-0.099863061298,0.8159939749633739,-0.13799989707998306,0.7139938720433583,0.099863061298
3,0.03,4.0810465888326343e-17,0.100249771699,-0.8159905224899627,0.1379998462830635,-0.7139903687730267,-0.100249771699,8.608298360824986e-18,-0.099750228301,0.8159905224899627,-0.1379998462830635,0.7139903687730267,0.099750228301
4,0.04,4.089167154642031e-17,0.100379372383,-0.8159869976158954,0.13799979156528608,-0.7139867891811824,-0.100379372383,9.205443927859566e-18,-0.099620627617,0.8159869976158954,-0.13799979156528608,0.7139867891811824,0.099620627617
5,0.05,4.14579323195072e-17,0.100524615094,-0.8159834120564621,0.13799973139235366,-0.7139831434488157,-0.100524615094,7.836447981442504e-18,-0.099475384906,0.8159834120564621,-0.13799973139235366,0.7139831434488157,0.099475384906
6,0.06,4.357301042531972e-17,0.100685448840,-0.8159797638983807,0.13799966507054606,-0.7139794289689241,-0.100685448840,1.0679745035377003e-17,-0.099314551160,0.8159797638983807,-0.13799966507054606,0.7139794289689241,0.099314551160
7,0.07,3.9412662637886006e-17,0.100862405992,-0.815976048806765,0.13799959203133627,-0.7139756408381017,-0.100862405992,8.779331289924184e-18,-0.099137594008,0.815976048806765,-0.13799959203133627,0.7139756408381017,0.099137594008
8,0.08,3.829393485282855e-17,0.101056359546,-0.8159722623443219,0.13799951168384272,-0.713971774028161,-0.101056359546,1.0193654425612418e-17,-0.098943640454,0.8159722623443219,-0.13799951168384272,0.713971774028161,0.098943640454
9,0.09,4.016670199236271e-17,0.101268404785,-0.815968400504084,0.13799942338032267,-0.713967823884404,-0.101268404785,1.1134564747125918e-17,-0.098731595215,0.815968400504084,-0.13799942338032312,0.713967823884404,0.098731595215
10,0.1,3.640525944763751e-17,0.101499803299,-0.8159644598792407,0.1379993264036582,-0.7139637862828976,-0.101499803299,6.718407898115696e-18,-0.098500196701,0.8159644598792407,-0.13799932640365864,0.7139637862828976,0.098500196701
11,0.11,4.1907403959931194e-17,0.101751958366,-0.815960437757295,0.1379992199585135,-0.7139596577158058,-0.101751958366,1.0311671727888751e-17,-0.098248041634,0.815960437757295,-0.1379992199585135,0.7139596577158058,0.098248041634
12,0.12,4.2610253496205754e-17,0.102026406227,-0.8159563321981561,0.13799910316241182,-0.7139554353605688,-0.102026406227,7.441427815192862e-18,-0.097973593773,0.8159563321981561,-0.13799910316241137,0.7139554353605688,0.097973593773
13,0.13,3.8756009630138045e-17,0.102324815537,-0.815952142109926,0.1379989750358398,-0.7139511171457662,-0.102324815537,6.0411382051660145e-18,-0.097675184463,0.815952142109926,-0.13799897503584024,0.7139511171457662,0.097675184463
14,0.14,4.7194369251220635e-17,0.102648991160,-0.8159478673266182,0.13799883449108308,-0.7139467018177021,-0.102648991160,1.1599700988302551e-17,-0.097351008840,0.8159478673266182,-0.13799883449108352,0.7139467018177021,0.097351008840
