frame,time,RL0,RL1,RL2,RL3,RL4,RL5,LL0,LL1,LL2,LL3,LL4,LL5
0,0.000000000,+0.000000000000,+0.100000000000,-0.816000000000,+0.138000000000,-0.714000000000,-0.100000000000,+0.000000000000,-0.100000000000,+0.816000000000,-0.138000000000,+0.714000000000,+0.100000000000
1,0.010000000,-0.000001337053,+0.100098832112,-0.815967063178,+0.137932723838,-0.713965527848,-0.100098841071,-0.000001396799,-0.099901156294,+0.816034454956,-0.138065428751,+0.714031113909,+0.099901146524
2,0.020000000,-0.000002821775,+0.100208577355,-0.815930369608,+0.137858020628,-0.713927370572,-0.100208596262,-0.000002947867,-0.099791393585,+0.816072596289,-0.138138087054,+0.714065786308,+0.099791372965
3,0.030000000,-0.000004463826,+0.100329949015,-0.815889663018,+0.137775381651,-0.713885274718,-0.100329978925,-0.000004663295,-0.099669996975,+0.816114654688,-0.138218425091,+0.714104237649,+0.099669964357
4,0.040000000,-0.000006273799,+0.100463729048,-0.815844660840,+0.137684246388,-0.713838961219,-0.100463771086,-0.000006554147,-0.099536182592,+0.816160881495,-0.138306933693,+0.714146708464,+0.099536136748
5,0.050000000,-0.000008263283,+0.100610773132,-0.815795051927,+0.137583998126,-0.713788123284,-0.100610828501,-0.000008632532,-0.099389092461,+0.816211549903,-0.138404146797,+0.714193460637,+0.099389032080
6,0.060000000,-0.000010444938,+0.100772015740,-0.815740494176,+0.137473959375,-0.713732424182,-0.100772085727,-0.000010911676,-0.099227789380,+0.816266956059,-0.138510643732,+0.714244778585,+0.099227713057
7,0.070000000,-0.000012832564,+0.100948475256,-0.815680612030,+0.137353387029,-0.713671494887,-0.100948561241,-0.000013405995,-0.099051251717,+0.816327420099,-0.138627051335,+0.714300970342,+0.099051157947
8,0.080000000,-0.000015441170,+0.101141259255,-0.815614993809,+0.137221467176,-0.713604931552,-0.101141362719,-0.000016131167,-0.098858368043,+0.816393287131,-0.138754045941,+0.714362368583,+0.098858255211
9,0.090000000,-0.000018287050,+0.101351570005,-0.815543188823,+0.137077309471,-0.713532292757,-0.101351692538,-0.000019104216,-0.098647931537,+0.816464928140,-0.138892355250,+0.714429331571,+0.098647797910
10,0.100000000,-0.000021387864,+0.101580710215,-0.815464704233,+0.136919941015,-0.713453096508,-0.101580853525,-0.000022343593,-0.098418634080,+0.816542740867,-0.139042760094,+0.714502244067,+0.098418477795
11,0.110000000,-0.000024762721,+0.101830089153,-0.815379001608,+0.136748299607,-0.713366816933,-0.101830255076,-0.000025869257,-0.098169060033,+0.816627150589,-0.139206096042,+0.714581518146,+0.098168879087
12,0.120000000,-0.000028432265,+0.102101229102,-0.815285493124,+0.136561226331,-0.713272880639,-0.102101419613,-0.000029702777,-0.097897679590,+0.816718610846,-0.139383254884,+0.714667593963,+0.097897471830
13,0.130000000,-0.000032418774,+0.102395772251,-0.815183537384,+0.136357457348,-0.713170662685,-0.102395989474,-0.000033867424,-0.097602841703,+0.816817604071,-0.139575185917,+0.714760940416,+0.097602604814
14,0.140000000,-0.000036746254,+0.102715488016,-0.815072434770,+0.136135614812,-0.713059482113,-0.102715734236,-0.000038388281,-0.097282766538,+0.816924642090,-0.139782897006,+0.714862055699,+0.097282498026
15,0.150000000,-0.000041440556,+0.103062280849,-0.814951422304,+0.135894196783,-0.712938596993,-0.103062558522,-0.000043292350,-0.096935537398,+0.817040266484,-0.140007455352,+0.714971467719,+0.096935234584
16,0.160000000,-0.000046529481,+0.103438198600,-0.814819667911,+0.135631565991,-0.712807198894,-0.103438510372,-0.000048608677,-0.096559092066,+0.817165048785,-0.140249987944,+0.715089734353,+0.096558752067
17,0.170000000,-0.000052042910,+0.103845441383,-0.814676264057,+0.135345937361,-0.712664406750,-0.103845790098,-0.000054368477,-0.096151213593,+0.817299590420,-0.140511681537,+0.715217443477,+0.096150833306
18,0.180000000,-0.000058012935,+0.104286371082,-0.814520220637,+0.135035364056,-0.712509259993,-0.104286759799,-0.000060605276,-0.095709520382,+0.817444522415,-0.140793782149,+0.715355212766,+0.095709096471
19,0.190000000,-0.000064473992,+0.104763521432,-0.814350457053,+0.134697721948,-0.712340710909,-0.104763953441,-0.000067355050,-0.095231455651,+0.817600504748,-0.141097593886,+0.715503689158,+0.095230984528
20,0.200000000,-0.000071463021,+0.105279608794,-0.814165793351,+0.134330692215,-0.712157616070,-0.105280087633,-0.000074656388,-0.094714276113,+0.817768225322,-0.141424477030,+0.715663547968,+0.094713753920
21,0.210000000,-0.000079019617,+0.105837543563,-0.813964940329,+0.133931741922,-0.711958726771,-0.105838073036,-0.000082550655,-0.094155039954,+0.817948398446,-0.141775845169,+0.715835491534,+0.094154462543
22,0.220000000,-0.000087186204,+0.106440442301,-0.813746488448,+0.133498102262,-0.711742678314,-0.106441026494,-0.000091082171,-0.093550593988,+0.818141762758,-0.142153161243,+0.716020247331,+0.093549956903
23,0.230000000,-0.000096008213,+0.107091640513,-0.813508895453,+0.133026744219,-0.711507978012,-0.107092283819,-0.000100298397,-0.092897560052,+0.818349078440,-0.142557932227,+0.716218565429,+0.092896858503
24,0.240000000,-0.000105534271,+0.107794706187,-0.813250472478,+0.132514351275,-0.711252991736,-0.107795413322,-0.000110250133,-0.092192320532,+0.818571123649,-0.142991702275,+0.716431215190,+0.092191549374
25,0.250000000,-0.000115816407,+0.108553453979,-0.812969368490,+0.131957288829,-0.710975928835,-0.108554230010,-0.000120991733,-0.091431003080,+0.818808689975,-0.143456043976,+0.716658981056,+0.091430156789
26,0.260000000,-0.000126910258,+0.109371960218,-0.812663552807,+0.131351569807,-0.710674825164,-0.109372810584,-0.000132581322,-0.090609464371,+0.819062576808,-0.143952547506,+0.716902657305,+0.090608537015
27,0.270000000,-0.000138875304,+0.110254578780,-0.812330795396,+0.130692815889,-0.710347523948,-0.110255509317,-0.000145081034,-0.089723272792,+0.819333584469,-0.144482807352,+0.717163041619,+0.089722258005
28,0.280000000,-0.000151775106,+0.111205958170,-0.811968644536,+0.129976213544,-0.709991654064,-0.111206975142,-0.000158557273,-0.088767689712,+0.819622505971,-0.145048406399,+0.717440927381,+0.088766580664
29,0.290000000,-0.000165677578,+0.112231060261,-0.811574401341,+0.129196463820,-0.709604605232,-0.112232170388,-0.000173080988,-0.087737648860,+0.819930117308,-0.145650897154,+0.717737094566,+0.087736438224
30,0.300000000,-0.000180655296,+0.113335181331,-0.811145090445,+0.128347724566,-0.709183499442,-0.113336391816,-0.000188727996,-0.086627733110,+0.820257166179,-0.146291779939,+0.718052299170,+0.086626413029
31,0.310000000,-0.000196785836,+0.114523976130,-0.810677426075,+0.127423543515,-0.708725157839,-0.114525294698,-0.000205579343,-0.085432147908,+0.820604359003,-0.146972477778,+0.718387261025,+0.085430709958
32,0.320000000,-0.000214152184,+0.115803485303,-0.810167772759,+0.126416780714,-0.708226062324,-0.115804920235,-0.000223721720,-0.084144690958,+0.820972345890,-0.147694307339,+0.718742649712,+0.084143126109
33,0.330000000,-0.000232843165,+0.117180165610,-0.809612100132,+0.125319519263,-0.707682311325,-0.117181725781,-0.000243247923,-0.082758718665,+0.821361702930,-0.148458444673,+0.719119067936,+0.082757017238
34,0.340000000,-0.000252953897,+0.118660920216,-0.809005932116,+0.124122964855,-0.707089569982,-0.118662615140,-0.000264257321,-0.081267112015,+0.821772910488,-0.149265883180,+0.719517031109,+0.081265263635
35,0.350000000,-0.000274586163,+0.120253123163,-0.808344292047,+0.122817337162,-0.706443016227,-0.120254963034,-0.000286856244,-0.079662247769,+0.822206325385,-0.150117379663,+0.719936941104,+0.079660241318
36,0.360000000,-0.000297848573,+0.121964627763,-0.807621647316,+0.121391760091,-0.705737286227,-0.121966623505,-0.000311158157,-0.077935985258,+0.822662143938,-0.151013382490,+0.720379051228,+0.077933808824
37,0.370000000,-0.000322856187,+0.123803734606,-0.806831865209,+0.119834169309,-0.704966425933,-0.123805897911,-0.000337283260,-0.076079693356,+0.823140351205,-0.151953928182,+0.720843413333,+0.076077334188
38,0.380000000,-0.000349729298,+0.125779097352,-0.805968191687,+0.118131256831,-0.704123856847,-0.125781440721,-0.000365357221,-0.074084339825,+0.823640653534,-0.152938497336,+0.721329800893,+0.074081784290
39,0.390000000,-0.000378592494,+0.127899648712,-0.805023206676,+0.116268399728,-0.703202349362,-0.127902185481,-0.000395510198,-0.071940560061,+0.824162404724,-0.153965889041,+0.721837656967,+0.071937793617
40,0.400000000,-0.000409572879,+0.130174463908,-0.803988806749,+0.114229628689,-0.702194008652,-0.130177208262,-0.000427874974,-0.069638788899,+0.824704520439,-0.155034058544,+0.722366017084,+0.069635796075
41,0.410000000,-0.000442798602,+0.132612646383,-0.802856177077,+0.111997568922,-0.701090243614,-0.132615613366,-0.000462585422,-0.067169370062,+0.825265401633,-0.156139966760,+0.722913434989,+0.067166134452
42,0.420000000,-0.000478399827,+0.135223392736,-0.801615674294,+0.109553205108,-0.699881648610,-0.135226598266,-0.000499777527,-0.064522484034,+0.825842898828,-0.157279510712,+0.723477948646,+0.064518988279
43,0.430000000,-0.000516515404,+0.138016472979,-0.800256489703,+0.106875212731,-0.698557670452,-0.138019933903,-0.000539596341,-0.061687653304,+0.826434355147,-0.158447609879,+0.724057123717,+0.061683879032
44,0.440000000,-0.000557309512,+0.141003438308,-0.798765894857,+0.103938464740,-0.697105866802,-0.141007172575,-0.000582213380,-0.058652503904,+0.827036758378,-0.159638508698,+0.724648204643,+0.058648431542
45,0.450000000,-0.000601002455,+0.144199854973,-0.797127830922,+0.100711241423,-0.695510521623,-0.144203882006,-0.000627858793,-0.055400471709,+0.827646993967,-0.160846280367,+0.725248366540,+0.055396080074
46,0.460000000,-0.000647916717,+0.147628635566,-0.795320660854,+0.097150783522,-0.693750438118,-0.147632976949,-0.000676869474,-0.051907368238,+0.828262106207,-0.162065350946,+0.725854979259,+0.051902633792
47,0.470000000,-0.000698531146,+0.151323934570,-0.793314176090,+0.093197364525,-0.691795993873,-0.151328615096,-0.000729745669,-0.048137333337,+0.828879340250,-0.163290597541,+0.726465663790,+0.048132229043
48,0.480000000,-0.000753520532,+0.155333934278,-0.791066594872,+0.088768329669,-0.689606171611,-0.155338983262,-0.000787192321,-0.044039870094,+0.829495581796,-0.164516266021,+0.727077767953,+0.044034363982
49,0.490000000,-0.000813734004,+0.159719127045,-0.788523473854,+0.083755888020,-0.687127437572,-0.159724579491,-0.000850096506,-0.039551437229,+0.830105731195,-0.165732790969,+0.727686805301,+0.039545491126
50,0.500000000,-0.000880037268,+0.164540672388,-0.785622275527,+0.078036048645,-0.684298129687,-0.164546569101,-0.000919362611,-0.034607208246,+0.830699753531,-0.166920992847,+0.728283589435,+0.034600777653
51,0.510000000,-0.000952922146,+0.169831942947,-0.782308642672,+0.071500683208,-0.681064307798,-0.169838328027,-0.000995504439,-0.029170228935,+0.831258964687,-0.168044718989,+0.728850572587,+0.029163265759
52,0.520000000,-0.001032117028,+0.175570447284,-0.778556893801,+0.064098007789,-0.677399814762,-0.175577363012,-0.001078238238,-0.023260579677,+0.831755602355,-0.169049900092,+0.729361328708,+0.023253037809
53,0.530000000,-0.001117053729,+0.181712058555,-0.774353286486,+0.055799568887,-0.673289936215,-0.181719543404,-0.001166970433,-0.016920650340,+0.832160115825,-0.169878920119,+0.729787665067,+0.016912487825
54,0.540000000,-0.001207065151,+0.188205531857,-0.769689010023,+0.046586414211,-0.668724552626,-0.188213619830,-0.001261004115,-0.010200431211,+0.832444359022,-0.170476900498,+0.730102727428,+0.010191610966
55,0.550000000,-0.001301432402,+0.194996048540,-0.764559291552,+0.036447338790,-0.663697275727,-0.195004768824,-0.001359588262,-0.003154002880,+0.832582981864,-0.170794418967,+0.730282333815,+0.003144493076
56,0.560000000,-0.001399418366,+0.202027756098,-0.758962757483,+0.025377641050,-0.658204840424,-0.202037132940,-0.001461952820,+0.004162985522,+0.832554365371,-0.170789332433,+0.730305866640,-0.004173211327
57,0.570000000,-0.001500292205,+0.209245626746,-0.752900876283,+0.013378043978,-0.652246580693,-0.209255679496,-0.001567334287,+0.011695178194,+0.832341175596,-0.170427853929,+0.730156798446,-0.011706141102
58,0.580000000,-0.001603346807,+0.216596782351,-0.746377428631,+0.000453672907,-0.645823934785,-0.216607525623,-0.001674993951,+0.019388861094,+0.831930603199,-0.169685016470,+0.729822917506,-0.019400577041
59,0.590000000,-0.001707910795,+0.224031402216,-0.739397975652,-0.013386970204,-0.638939948855,-0.224042846123,-0.001784230431,+0.027192910312,+0.831314355993,-0.168544656989,+0.729296319364,-0.027205390326
60,0.600000000,-0.001813356347,+0.231503306814,-0.731969309978,-0.028133068609,-0.631598761674,-0.231515457262,-0.001894387847,+0.035059429427,+0.830488467408,-0.166999044117,+0.728573225428,-0.035072679951
61,0.610000000,-0.001919103820,+0.238970291963,-0.724098881227,-0.043772607901,-0.623805059665,-0.238983150976,-0.002004860652,+0.042944146075,+0.829452976280,-0.165048258333,+0.727653681932,-0.042958169313
62,0.620000000,-0.002024623974,+0.246394273036,-0.715794188998,-0.060293564775,-0.615563492890,-0.246407839092,-0.002115095953,+0.050806623113,+0.828211524530,-0.162699415136,+0.726541183589,-0.050821417406
63,0.630000000,-0.002129438398,+0.253741286722,-0.707062133872,-0.077685189003,-0.606878039950,-0.253755555091,-0.002224593959,+0.058610328447,+0.826770910239,-0.159965803899,+0.725242257250,-0.058625888637
64,0.640000000,-0.002233118628,+0.260981388235,-0.697908310634,-0.095939413032,-0.597751303217,-0.260996351317,-0.002332907059,+0.066322598280,+0.825140625197,-0.156865998380,+0.723766032640,-0.066338916078
65,0.650000000,-0.002335284334,+0.268088473983,-0.688336217731,-0.115052444408,-0.588183705228,-0.268104121631,-0.002439637926,+0.073914521585,+0.823332398510,-0.153422980234,+0.722123820002,-0.073931585926
66,0.660000000,-0.002435600857,+0.275040053402,-0.678346341446,-0.135026628217,-0.578172540548,-0.275056373225,-0.002544436945,+0.081360767872,+0.821359761574,-0.149663304572,+0.720328708516,-0.081378565242
67,0.670000000,-0.002533776322,+0.281816988411,-0.667935049845,-0.155872715305,-0.567710812351,-0.281833966064,-0.002646999200,+0.088639375654,+0.819237644600,-0.145616326767,+0.718395194548,-0.088657890408
68,0.680000000,-0.002629558513,+0.288403214877,-0.657093194235,-0.177612749467,-0.556785742717,-0.288420834323,-0.002747061203,+0.095731515513,+0.816982010783,-0.141313501856,+0.716338845031,-0.095750730163
69,0.690000000,-0.002722731608,+0.294785456967,-0.645804255086,-0.200283913670,-0.545376779705,-0.294803700723,-0.002844397490,+0.102621238538,+0.814609531136,-0.136787762016,+0.714175998466,-0.102641134018
70,0.700000000,-0.002813112899,+0.300952942583,-0.634041764241,-0.223943894462,-0.533452810124,-0.300971791943,-0.002938817187,+0.109295218564,+0.812137300671,-0.132072973227,+0.711923503975,-0.109315774475
71,0.710000000,-0.002900549550,+0.306897125881,-0.621765545349,-0.248678720347,-0.520968080337,-0.306916561115,-0.003030160631,+0.115742494665,+0.809582594966,-0.127203469117,+0.709598497363,-0.115763689489
