frame,RL_pos_err_mm,RL_ori_err_deg,LL_pos_err_mm,LL_ori_err_deg,RL_max_delta_deg,LL_max_delta_deg,RL_max_frame_delta_deg,LL_max_frame_delta_deg,RL_max_velocity_deg_s,LL_max_velocity_deg_s,RL_solver_success,LL_solver_success,RL_solver_status,LL_solver_status,RL_nfev,LL_nfev,RL_limit_violation,LL_limit_violation
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1,1.38777878078e-14,3.52274009674e-15,6.93889390391e-15,9.62955640514e-15,0.00566317621778,0.00566388694318,0.00566317621778,0.00566388694318,0.566317621778,0.566388694318,1,1,3,3,5,5,0,0
2,5.05159101305e-14,1.07198359916e-15,1.12743681122e-13,6.13344838752e-16,0.0119516854342,0.0119534485802,0.0062885092164,0.00628956163707,0.62885092164,0.628956163707,1,1,3,3,5,5,0,0
3,6.20633538312e-14,1.91453104895e-13,5.72195849815e-14,5.16703577877e-16,0.0189063997524,0.0189096494064,0.00695471431818,0.00695620082612,0.695471431818,0.695620082612,1,1,3,3,5,5,0,0
4,7.50556132966e-14,9.62801271403e-15,3.46944695195e-14,1.00257283821e-14,0.026572125896,0.0265774066226,0.00766572614361,0.00766775721624,0.766572614361,0.766775721624,1,1,3,3,5,5,0,0
5,1.21974623674e-13,4.98764949187e-15,2.08166817117e-14,3.10817950781e-14,0.0349978950926,0.035005883253,0.00842576919662,0.00842847663039,0.842576919662,0.842847663039,1,1,3,3,5,5,0,0
6,5.76387816845e-14,1.38170068722e-12,3.46944695195e-14,1.36923415732e-14,0.044237253552,0.0442487824188,0.00923935845945,0.00924289916583,0.923935845945,0.924289916583,1,1,3,3,5,5,0,0
7,4.85722573274e-14,4.79836734651e-15,5.72195849815e-14,4.3432377463e-15,0.0543485557194,0.0543646450364,0.0101113021674,0.0101158626176,1.01113021674,1.01158626176,1,1,3,3,5,5,0,0
8,2.50185377655e-14,3.28470681353e-15,1.14439169963e-13,7.97140778521e-14,0.0653952667049,0.0654171576646,0.0110467109855,0.0110525126282,1.10467109855,1.10525126282,1,1,3,3,6,5,0,0
9,5.72195849815e-14,4.19910189797e-15,6.93889390391e-15,2.63534820992e-13,0.0774462776134,0.0774754727802,0.0120510109085,0.0120583151156,1.20510109085,1.20583151156,1,1,3,3,6,5,0,0
10,8.77708367144e-14,2.08137350042e-14,6.54613941668e-14,9.35407735346e-15,0.0905762350328,0.0906145475532,0.0131299574195,0.013139074773,1.31299574195,1.3139074773,1,1,3,3,6,5,0,0
11,4.16333634234e-14,3.46651799256e-15,5.72195849815e-14,1.54000880047e-12,0.104865891275,0.104915500074,0.0142896562424,0.0143009525206,1.42896562424,1.43009525206,1,1,3,3,6,5,0,0
12,1.55158384578e-14,6.96854562042e-15,1.38777878078e-14,1.62071242214e-15,0.120402474821,0.120465990455,0.0155365835456,0.0155504903811,1.55365835456,1.55504903811,1,1,3,3,6,6,0,0
13,1.24320504358e-13,5.31183920864e-15,4.38854183572e-14,1.21400117688e-14,0.137280084632,0.137360626006,0.0168776098115,0.0168946355514,1.68776098115,1.68946355514,1,1,3,3,6,6,0,0
14,5.72195849815e-14,1.16457618668e-14,6.08885468947e-14,5.82757599832e-15,0.15560010998,0.155701393911,0.0183200253478,0.018340767905,1.83200253478,1.8340767905,1,1,3,3,6,6,0,0
15,5.72195849815e-14,5.96237074333e-15,5.92859355033e-14,1.635430279e-15,0.175471677843,0.175598123522,0.0198715678625,0.0198967296102,1.98715678625,1.98967296102,1,1,3,3,6,6,0,0
16,1.55158384578e-14,1.16914831645e-14,1.21182572286e-13,1.05555547304e-14,0.197012132144,0.197168982841,0.0215404543013,0.0215708593196,2.15404543013,2.15708593196,1,1,3,3,6,6,0,0
17,1.55158384578e-14,2.18664114033e-15,5.59431511414e-14,1.18842475187e-14,0.220347541491,0.220541006214,0.0233354093474,0.0233720233727,2.33354093474,2.33720233727,1,1,3,3,6,6,0,0
18,7.24441791896e-14,3.31913501603e-15,2.77555756156e-14,1.15893393798e-15,0.24561324428,0.245850662495,0.0252657027891,0.0253096562812,2.52657027891,2.53096562812,1,1,3,3,6,6,0,0
19,5.05159101305e-14,4.26334610031e-15,2.77555756156e-14,9.80075853424e-15,0.27295442597,0.273244458967,0.0273411816895,0.0273937964715,2.73411816895,2.73937964715,1,1,3,3,6,6,0,0
20,1.96261557335e-14,1.85209411699e-15,1.38777878078e-14,7.99750354768e-15,0.302526736853,0.302879589865,0.0295723108835,0.0296351308982,2.95723108835,2.96351308982,1,1,3,3,6,6,0,0
21,5.72195849815e-14,6.34489405665e-15,2.50185377655e-14,1.81923357648e-15,0.334496945467,0.334924625255,0.0319702086131,0.0320450353906,3.19702086131,3.20450353906,1,1,3,3,6,6,0,0
22,1.96261557335e-14,4.21604625801e-15,6.39734408315e-14,9.55307865018e-15,0.369043633825,0.369560247152,0.0345466883583,0.0346356218968,3.45466883583,3.46356218968,1,1,3,3,6,6,0,0
23,1.38777878078e-14,3.87211378439e-16,6.93889390391e-15,1.2023710075e-15,0.406357929929,0.406980029089,0.037314296104,0.0374197819366,3.7314296104,3.74197819366,1,1,3,3,6,6,0,0
24,1.15277563369e-13,4.21096979895e-15,6.08885468947e-14,8.6830034216e-15,0.446644282887,0.447391265399,0.0402863529585,0.0404112363103,4.02863529585,4.04112363103,1,1,3,3,6,6,0,0
25,3.10316769156e-14,1.25889802941e-14,1.12957008997e-13,3.2704117425e-15,0.490121276561,0.491015847107,0.0434769936737,0.0436245817079,4.34769936737,4.36245817079,1,1,3,3,6,6,0,0
26,5.88784672006e-14,2.74505472198e-15,6.93889390391e-15,1.20242251038e-15,0.537022488617,0.538091192484,0.046901212056,0.0470753453767,4.6901212056,4.70753453767,1,1,3,3,6,6,0,0
27,6.79869977755e-14,1.21335622824e-14,2.77555756156e-14,1.76123144276e-14,0.587597400614,0.588871239222,0.0505749119972,0.0507800467385,5.05749119972,5.07800467385,1,1,3,3,6,6,0,0
28,5.72195849815e-14,4.29981338848e-15,5.72195849815e-14,1.02301595963e-14,0.642112376773,0.643627517457,0.0545149761584,0.0547562782351,5.45149761584,5.47562782351,1,1,3,3,6,6,0,0
29,3.46944695195e-14,9.28097931529e-15,5.72195849815e-14,5.88911188004e-15,0.700851737499,0.702650331574,0.0587393607267,0.0590228141162,5.87393607267,5.90228141162,1,1,3,3,6,6,0,0
