sample,time,joint_name,actual_position_rad,target_position_rad,error_rad
1,0.010089571,right_hip_yaw_joint,0.0,0.0,0.0
1,0.010089571,right_hip_roll_joint,0.1,0.1,0.0
1,0.010089571,right_hip_pitch_joint,-0.878,-0.878,0.0
1,0.010089571,right_knee_pitch_joint,0.13,0.13,0.0
1,0.010089571,right_ankle_pitch_joint,-0.65,-0.65,0.0
1,0.010089571,right_ankle_roll_joint,-0.1,-0.1,0.0
1,0.010089571,left_hip_yaw_joint,0.0,0.0,0.0
1,0.010089571,left_hip_roll_joint,-0.1,-0.1,0.0
1,0.010089571,left_hip_pitch_joint,0.878,0.878,0.0
1,0.010089571,left_knee_pitch_joint,-0.13,-0.13,0.0
1,0.010089571,left_ankle_pitch_joint,0.65,0.65,0.0
1,0.010089571,left_ankle_roll_joint,0.1,0.1,0.0
2,0.020111793,right_hip_yaw_joint,0.0,0.0,0.0
2,0.020111793,right_hip_roll_joint,0.1,0.1,0.0
2,0.020111793,right_hip_pitch_joint,-0.878,-0.878,0.0
2,0.020111793,right_knee_pitch_joint,0.13,0.13,0.0
2,0.020111793,right_ankle_pitch_joint,-0.65,-0.65,0.0
2,0.020111793,right_ankle_roll_joint,-0.1,-0.1,0.0
2,0.020111793,left_hip_yaw_joint,0.0,0.0,0.0
2,0.020111793,left_hip_roll_joint,-0.1,-0.1,0.0
2,0.020111793,left_hip_pitch_joint,0.878,0.878,0.0
2,0.020111793,left_knee_pitch_joint,-0.13,-0.13,0.0
2,0.020111793,left_ankle_pitch_joint,0.65,0.65,0.0
2,0.020111793,left_ankle_roll_joint,0.1,0.1,0.0
3,0.030082154,right_hip_yaw_joint,0.0,0.0,0.0
3,0.030082154,right_hip_roll_joint,0.1,0.1,0.0
3,0.030082154,right_hip_pitch_joint,-0.878,-0.878,0.0
3,0.030082154,right_knee_pitch_joint,0.13,0.13,0.0
3,0.030082154,right_ankle_pitch_joint,-0.65,-0.65,0.0
3,0.030082154,right_ankle_roll_joint,-0.1,-0.1,0.0
3,0.030082154,left_hip_yaw_joint,0.0,0.0,0.0
3,0.030082154,left_hip_roll_joint,-0.1,-0.1,0.0
3,0.030082154,left_hip_pitch_joint,0.878,0.878,0.0
3,0.030082154,left_knee_pitch_joint,-0.13,-0.13,0.0
3,0.030082154,left_ankle_pitch_joint,0.65,0.65,0.0
3,0.030082154,left_ankle_roll_joint,0.1,0.1,0.0
4,0.040068487,right_hip_yaw_joint,0.0,0.0,0.0
4,0.040068487,right_hip_roll_joint,0.1,0.1,0.0
