sample,time,joint_name,actual_position_rad,target_position_rad,error_rad
1,0.010077013,right_hip_yaw_joint,0.0,0.0,0.0
1,0.010077013,right_hip_roll_joint,0.1,0.1,0.0
1,0.010077013,right_hip_pitch_joint,-0.878,-0.63,0.248
1,0.010077013,right_knee_pitch_joint,0.13,0.15,0.01999999999999999
1,0.010077013,right_ankle_pitch_joint,-0.65,-0.91,-0.26
1,0.010077013,right_ankle_roll_joint,-0.1,-0.1,0.0
1,0.010077013,left_hip_yaw_joint,0.0,0.0,0.0
1,0.010077013,left_hip_roll_joint,-0.1,-0.1,0.0
1,0.010077013,left_hip_pitch_joint,0.878,0.63,-0.248
1,0.010077013,left_knee_pitch_joint,-0.13,-0.15,-0.01999999999999999
1,0.010077013,left_ankle_pitch_joint,0.65,0.91,0.26
1,0.010077013,left_ankle_roll_joint,0.1,0.1,0.0
2,0.020076855,right_hip_yaw_joint,0.0,0.0,0.0
2,0.020076855,right_hip_roll_joint,0.1,0.1,0.0
2,0.020076855,right_hip_pitch_joint,-0.878,-0.63,0.248
2,0.020076855,right_knee_pitch_joint,0.13,0.15,0.01999999999999999
2,0.020076855,right_ankle_pitch_joint,-0.65,-0.91,-0.26
2,0.020076855,right_ankle_roll_joint,-0.1,-0.1,0.0
2,0.020076855,left_hip_yaw_joint,0.0,0.0,0.0
2,0.020076855,left_hip_roll_joint,-0.1,-0.1,0.0
2,0.020076855,left_hip_pitch_joint,0.878,0.63,-0.248
2,0.020076855,left_knee_pitch_joint,-0.13,-0.15,-0.01999999999999999
2,0.020076855,left_ankle_pitch_joint,0.65,0.91,0.26
2,0.020076855,left_ankle_roll_joint,0.1,0.1,0.0
3,0.030083406,right_hip_yaw_joint,0.0,0.0,0.0
3,0.030083406,right_hip_roll_joint,0.1,0.1,0.0
3,0.030083406,right_hip_pitch_joint,-0.878,-0.63,0.248
3,0.030083406,right_knee_pitch_joint,0.13,0.15,0.01999999999999999
3,0.030083406,right_ankle_pitch_joint,-0.65,-0.91,-0.26
3,0.030083406,right_ankle_roll_joint,-0.1,-0.1,0.0
3,0.030083406,left_hip_yaw_joint,0.0,0.0,0.0
3,0.030083406,left_hip_roll_joint,-0.1,-0.1,0.0
3,0.030083406,left_hip_pitch_joint,0.878,0.63,-0.248
3,0.030083406,left_knee_pitch_joint,-0.13,-0.15,-0.01999999999999999
3,0.030083406,left_ankle_pitch_joint,0.65,0.91,0.26
3,0.030083406,left_ankle_roll_joint,0.1,0.1,0.0
4,0.040088313,right_hip_yaw_joint,0.0,0.0,0.0
4,0.040088313,right_hip_roll_joint,0.1,0.1,0.0
4,0.040088313,right_hip_pitch_joint,-0.878,-0.63,0.248
4,0.040088313,right_knee_pitch_joint,0.13,0.15,0.01999999999999999
4,0.040088313,right_ankle_pitch_joint,-0.65,-0.91,-0.26
4,0.040088313,right_ankle_roll_joint,-0.1,-0.1,0.0
4,0.040088313,left_hip_yaw_joint,0.0,0.0,0.0
4,0.040088313,left_hip_roll_joint,-0.1,-0.1,0.0
4,0.040088313,left_hip_pitch_joint,0.878,0.63,-0.248
4,0.040088313,left_knee_pitch_joint,-0.13,-0.15,-0.01999999999999999
4,0.040088313,left_ankle_pitch_joint,0.65,0.91,0.26
4,0.040088313,left_ankle_roll_joint,0.1,0.1,0.0
5,0.050064121,right_hip_yaw_joint,0.0,0.0,0.0
5,0.050064121,right_hip_roll_joint,0.1,0.1,0.0
5,0.050064121,right_hip_pitch_joint,-0.878,-0.63,0.248
5,0.050064121,right_knee_pitch_joint,0.13,0.15,0.01999999999999999
5,0.050064121,right_ankle_pitch_joint,-0.65,-0.91,-0.26
5,0.050064121,right_ankle_roll_joint,-0.1,-0.1,0.0
5,0.050064121,left_hip_yaw_joint,0.0,0.0,0.0
5,0.050064121,left_hip_roll_joint,-0.1,-0.1,0.0
5,0.050064121,left_hip_pitch_joint,0.878,0.63,-0.248
5,0.050064121,left_knee_pitch_joint,-0.13,-0.15,-0.01999999999999999
5,0.050064121,left_ankle_pitch_joint,0.65,0.91,0.26
5,0.050064121,left_ankle_roll_joint,0.1,0.1,0.0
6,0.060085591,right_hip_yaw_joint,0.0,0.0,0.0
