hip_pitch_delta,knee_pitch_delta,ankle_pitch_delta,joint_delta_l2,right_hip_pitch,right_knee_pitch,right_ankle_pitch,left_hip_pitch,left_knee_pitch,left_ankle_pitch,com_x,com_y,com_z,support_x_min,support_x_max,support_y_min,support_y_max,support_polygon_xy,com_signed_distance,com_inside_support,left_sole_roll,left_sole_pitch,right_sole_roll,right_sole_pitch,sole_tilt_max,candidate_valid
-0.112,-0.016,0.12,0.23323807579381203,-0.742,0.134,-0.79,0.742,-0.134,0.79,-0.00029079859857349057,-0.021362996226703956,0.3425054431067137,-0.14230853927729986,0.14145613940879154,-0.021595535146517103,0.13854846023917275,"-0.142309,+0.138399;-0.142181,-0.021596;+0.141328,-0.021518;+0.141456,+0.138477;+0.051456,+0.138548;-0.052309,+0.138471",0.00019386960530860808,1,-0.007957324137661747,-3.0058948846689455e-06,-0.0079591645160412,3.5863459915288513e-06,0.0079591645160412,1
-0.108,-0.024,0.124,0.2350148931450941,-0.738,0.126,-0.786,0.738,-0.126,0.786,-0.00029079571926407646,-0.021330876429492728,0.34243766579361895,-0.14233863339502995,0.14148626473019235,-0.021581346143917948,0.138562706161873,"-0.142339,+0.138414;-0.142211,-0.021581;+0.141359,-0.021504;+0.141486,+0.138491;+0.051486,+0.138563;-0.052339,+0.138485",0.0002117719233246704,1,-0.007957324137662414,-3.0058948847367585e-06,-0.007959164516041424,3.586345991480824e-06,0.007959164516041424,1
-0.116,-0.012,0.12,0.23664319132398465,-0.746,0.13799999999999998,-0.79,0.746,-0.13799999999999998,0.79,-0.0002907991351991401,-0.021461044057374378,0.34255409926116703,-0.14229054819900627,0.14143814443872926,-0.021974633523880995,0.13816936258668516,"-0.142291,+0.138020;-0.142163,-0.021975;+0.141310,-0.021897;+0.141438,+0.138098;+0.051438,+0.138169;-0.052291,+0.138092",0.00047491977370736795,1,-0.007957324137662302,-3.0058948847274297e-06,-0.007959164516040979,3.586345991548255e-06,0.007959164516040979,1
-0.104,-0.032,0.128,0.23758787847867996,-0.734,0.118,-0.782,0.734,-0.118,0.782,-0.00029079284803869244,-0.021298641297393988,0.3423705431983551,-0.14236842963490628,0.14151609210871613,-0.021566933351977485,0.138577174986466,"-0.142368,+0.138428;-0.142241,-0.021567;+0.141388,-0.021490;+0.141516,+0.138505;+0.051516,+0.138577;-0.052368,+0.138500",0.00022956623096512209,1,-0.007957324137661747,-3.005894884746483e-06,-0.007959164516041312,3.586345991392092e-06,0.007959164516041312,1
-0.112,-0.02,0.124,0.23799159649029628,-0.742,0.13,-0.786,0.742,-0.13,0.786,-0.00029079624979619725,-0.021429119076863564,0.3424859313279681,-0.14232079382718313,0.14146842131756726,-0.021961162485514357,0.13818289053904934,"-0.142321,+0.138034;-0.142193,-0.021961;+0.141341,-0.021884;+0.141468,+0.138111;+0.051468,+0.138183;-0.052321,+0.138106",0.0004933452423227431,1,-0.007957324137662413,-3.005894884894377e-06,-0.007959164516041312,3.5863459916963114e-06,0.007959164516041312,1
-0.12,-0.004,0.12,0.24006665740997854,-0.75,0.146,-0.79,0.75,-0.146,0.79,-0.0002908027212417035,-0.021475004372703745,0.3426368572260564,-0.14218508073594902,0.14133261341943484,-0.02157179722230012,0.1385398534056413,"-0.142185,+0.138427;-0.142121,-0.021572;+0.141269,-0.021495;+0.141333,+0.138504;+0.051333,+0.138540",5.824278073832907e-05,1,-0.003977314101499793,-5.94114066673103e-07,-0.0039791427356872635,1.19027460278654e-06,0.0039791427356872635,1
-0.108,-0.028,0.128,0.24013329631685815,-0.738,0.122,-0.782,0.738,-0.122,0.782,-0.000290793372468783,-0.021397077189584994,0.3424184173403524,-0.142350741862939,0.14149840053902255,-0.021947461580752947,0.1381966474703478,"-0.142351,+0.138047;-0.142223,-0.021947;+0.141371,-0.021870;+0.141498,+0.138125;+0.051498,+0.138197;-0.052351,+0.138119",0.0005116581953957709,1,-0.007957324137662189,-3.005894884884273e-06,-0.007959164516040977,3.586345991685651e-06,0.007959164516040977,1
-0.12,-0.008,0.12,0.2402665186828993,-0.75,0.142,-0.79,0.75,-0.142,0.79,-0.00029079967790974397,-0.02155889550258117,0.3426031452572272,-0.14227240589812268,0.14141999819914888,-0.02235300787144659,0.13779098897008846,"-0.142272,+0.137642;-0.142145,-0.022353;+0.141292,-0.022276;+0.141420,+0.137719;+0.051420,+0.137791;-0.052272,+0.137714",0.0007554422946905624,1,-0.007957324137661969,-3.005894884757208e-06,-0.0079591645160412,3.5863459913827644e-06,0.0079591645160412,1
-0.116,-0.012,0.124,0.24073221637329725,-0.746,0.13799999999999998,-0.786,0.746,-0.13799999999999998,0.786,-0.00029079982780938837,-0.021443196809759715,0.3425680364379597,-0.14221562347261754,0.1413631874712261,-0.021558556265864524,0.13855315216262404,"-0.142216,+0.138440;-0.142152,-0.021559;+0.141299,-0.021481;+0.141363,+0.138517;+0.051363,+0.138553",7.678047007914981e-05,1,-0.003977314101500236,-5.941140664948512e-07,-0.003979142735687041,1.1902746026375872e-06,0.003979142735687041,1
-0.1,-0.04,0.132,0.24093152554200956,-0.73,0.10999999999999999,-0.778,0.73,-0.10999999999999999,0.778,-0.000290789984943258,-0.02126629134616917,0.34230407639488214,-0.14239792752018976,0.14154562106712582,-0.02155229700129993,0.13859186648145044,"-0.142398,+0.138443;-0.142270,-0.021552;+0.141418,-0.021475;+0.141546,+0.138520;+0.051546,+0.138592;-0.052398,+0.138514",0.00024725224352120526,1,-0.00795732413766219,-3.0058948852167543e-06,-0.007959164516041312,3.5863459916963114e-06,0.007959164516041312,1
-0.116,-0.016,0.124,0.24119701490690137,-0.746,0.134,-0.786,0.746,-0.134,0.786,-0.00029079678642185197,-0.021527166907533996,0.34253458748242144,-0.14230280274888957,0.14145042634750493,-0.022340260862878387,0.1378037928865618,"-0.142303,+0.137655;-0.142175,-0.022340;+0.141323,-0.022263;+0.141450,+0.137732;+0.051450,+0.137804;-0.052303,+0.137726",0.0007743954107022073,1,-0.007957324137662414,-3.0058948846787897e-06,-0.007959164516041423,3.5863459914699148e-06,0.007959164516041423,1
-0.112,-0.02,0.128,0.24219000805152965,-0.742,0.13,-0.782,0.742,-0.13,0.782,-0.00029079694240645074,-0.021411271829248905,0.3424998685047607,-0.14224586910079445,0.141393464350064,-0.021545085227497845,0.13856668011498818,"-0.142246,+0.138454;-0.142182,-0.021545;+0.141330,-0.021468;+0.141393,+0.138531;+0.051393,+0.138567",9.520593868497721e-05,1,-0.003977314101500236,-5.941140668098296e-07,-0.003979142735687152,1.190274602922128e-06,0.003979142735687152,1
-0.112,-0.024,0.128,0.24291562321102364,-0.742,0.126,-0.782,0.742,-0.126,0.782,-0.0002907939030009064,-0.02149531983695583,0.34246668287470156,-0.1423329022950922,0.1414805571263974,-0.022327277922349287,0.1378168318475242,"-0.142333,+0.137668;-0.142205,-0.022327;+0.141353,-0.022250;+0.141481,+0.137745;+0.051481,+0.137817;-0.052333,+0.137739",0.000793231514374764,1,-0.007957324137661747,-3.0058948846689455e-06,-0.007959164516040977,3.586345991685651e-06,0.007959164516040977,1
